m	mean_eff	sd_bot_eff	sd_top_eff	mean_random	sd_bot_random	sd_top_random	mean_large	sd_bot_large	sd_top_large	mean_leverage	sd_bot_leverage	sd_top_leverage	mean_sum	sd_bot_sum	sd_top_sum	mean_true_displace	sd_bot_true_displace	sd_top_true_displace	
2.000000000000000e+00	4.941047228422017e-01	4.409597042730012e-01	5.472734367091837e-01	8.196949462458962e-01	6.341833497605918e-01	1.005515790358100e+00	6.485181735794858e-01	6.150468417185874e-01	6.820106009052591e-01	5.562651219178265e-01	5.246360184714810e-01	5.878887768035329e-01	7.562439970250612e-01	7.090687754409470e-01	8.034275515119614e-01	3.780482317771141e-02	1.765136554602860e-02	5.798672685695544e-02	
3.000000000000000e+00	4.912980796398603e-01	4.396085242301551e-01	5.430053521465517e-01	7.871094489641736e-01	5.510729283547564e-01	1.023066670888512e+00	6.481548928668039e-01	6.076709343400201e-01	6.886373184855199e-01	5.565429341229035e-01	5.201051627080508e-01	5.929833323424729e-01	7.432538621837043e-01	7.011505657683724e-01	7.853617643714683e-01	3.822153691531109e-02	1.806970973326243e-02	5.837857611631860e-02	
4.000000000000000e+00	4.916199810754582e-01	4.493697682606435e-01	5.338859120145666e-01	7.569088984082936e-01	4.976129442332201e-01	1.016228891947509e+00	6.507576029004603e-01	6.014333920147311e-01	7.000884497535815e-01	5.550821987960354e-01	5.128468342087580e-01	5.972868450298193e-01	7.373327077121379e-01	6.965552325886638e-01	7.781140632470440e-01	3.823503736758368e-02	1.804461271893852e-02	5.840207140262430e-02	
5.000000000000000e+00	4.869716497916327e-01	4.454849317579868e-01	5.284388377334693e-01	7.210489975667030e-01	4.442624359008721e-01	9.977271797128221e-01	6.507201228799697e-01	5.899235100678938e-01	7.115274663275627e-01	5.590280421727499e-01	5.097903686831313e-01	6.083088592384223e-01	7.323801222090652e-01	6.901972979179978e-01	7.745895221921728e-01	3.787984921485033e-02	1.771848517346676e-02	5.802834618440733e-02	
6.000000000000000e+00	4.879094844109138e-01	4.499328224413388e-01	5.258948610706810e-01	6.849092144499421e-01	4.008242414816016e-01	9.689310631894060e-01	6.503897196298133e-01	5.773538299627673e-01	7.233883677464361e-01	5.595800047777184e-01	5.001849835472479e-01	6.189680102162518e-01	7.266086649402548e-01	6.814656076970469e-01	7.719261035309095e-01	3.817089347100630e-02	1.783927515999217e-02	5.850304832740301e-02	
7.000000000000000e+00	4.838696132431529e-01	4.471421581317310e-01	5.206243086309572e-01	6.566120744363384e-01	3.639646315479979e-01	9.493026346211537e-01	6.545849054914239e-01	5.665753581972506e-01	7.426068833342817e-01	5.641666830378381e-01	4.933891807565268e-01	6.349469339236560e-01	7.199240540819448e-01	6.705396203617907e-01	7.693545637750395e-01	3.809888022029755e-02	1.832579595624433e-02	5.783326175014813e-02	
8.000000000000000e+00	4.809991409098804e-01	4.444169231303756e-01	5.175781260435386e-01	6.279019411299374e-01	3.326450762565625e-01	9.230890348317646e-01	6.610075722071438e-01	5.572006285795754e-01	7.648229440769806e-01	5.673888369206752e-01	4.867809409548621e-01	6.479069603337806e-01	7.133737934386599e-01	6.587632332827212e-01	7.679884842193038e-01	3.785790921040053e-02	1.766672369572410e-02	5.805308431571782e-02	
9.000000000000000e+00	4.817136138952390e-01	4.474262283669859e-01	5.159985173932036e-01	5.984800863487382e-01	2.997402077581643e-01	8.972118700790194e-01	6.609292312817135e-01	5.423671124829440e-01	7.793960964727313e-01	5.748368902565509e-01	4.794423354351269e-01	6.702691132016294e-01	7.055873451438414e-01	6.450908020531495e-01	7.660671742263987e-01	3.785291856539648e-02	1.777924988687792e-02	5.792183088728509e-02	
1.000000000000000e+01	4.782016129591986e-01	4.434461952263802e-01	5.129675496214128e-01	5.700737897388013e-01	2.757627823713890e-01	8.643254919737882e-01	6.685546638923230e-01	5.357920826845805e-01	8.013496803896011e-01	5.793344183145424e-01	4.733824268334086e-01	6.852969000202164e-01	6.984429013115964e-01	6.326332564155407e-01	7.642825168988969e-01	3.832464964365533e-02	1.801539935269011e-02	5.864191523464007e-02	
1.100000000000000e+01	4.789375339885160e-01	4.457259884018910e-01	5.121904548345162e-01	5.381120179904013e-01	2.572353593050325e-01	8.188980115152322e-01	6.720256149109903e-01	5.270102758927844e-01	8.170018915024841e-01	5.860774749178916e-01	4.670894987412214e-01	7.052027924550029e-01	6.887273576139168e-01	6.184733468704641e-01	7.591259626955132e-01	3.778046454359371e-02	1.757851979291129e-02	5.799392357894748e-02	
1.200000000000000e+01	4.751897935137416e-01	4.420275525036028e-01	5.083526902061735e-01	5.368243621507484e-01	2.521048668784799e-01	8.218687525528198e-01	6.796385881799412e-01	5.222776100369155e-01	8.370302471671101e-01	5.943535098082887e-01	4.622446324482722e-01	7.262675148371071e-01	6.807027213611466e-01	6.060473099090777e-01	7.553319478841470e-01	3.807594518198414e-02	1.788972268129184e-02	5.822878847840567e-02	
1.300000000000000e+01	4.765062761932851e-01	4.443145353134668e-01	5.086882287011975e-01	5.115805464426725e-01	2.371600714618869e-01	7.855861487822142e-01	6.811035389003151e-01	5.145822073700356e-01	8.477900962061177e-01	6.022776848612449e-01	4.611982390011727e-01	7.434010783736933e-01	6.727420306966656e-01	5.957854450730999e-01	7.497528590250404e-01	3.804032823772665e-02	1.797852146378117e-02	5.806766142776626e-02	
1.400000000000000e+01	4.728432488038059e-01	4.404258913556923e-01	5.052620181910398e-01	4.916375761318534e-01	2.215148329501629e-01	7.615193932005614e-01	6.942724399082585e-01	5.212073424511586e-01	8.673016443288801e-01	6.139252517022222e-01	4.570505693158285e-01	7.707814836024889e-01	6.655070645833149e-01	5.876928973586444e-01	7.433216488325207e-01	3.809170940180772e-02	1.801319106174918e-02	5.813926439893482e-02	
1.500000000000000e+01	4.678962050173146e-01	4.367561013552540e-01	4.990242558329523e-01	4.820366418787387e-01	2.216988930520477e-01	7.423673353102742e-01	6.912479475437474e-01	5.145300836714457e-01	8.678294432089991e-01	6.236929325717002e-01	4.581546757368203e-01	7.893027936479173e-01	6.573463748860306e-01	5.806371546113560e-01	7.340518498942156e-01	3.783105738563506e-02	1.771224794089538e-02	5.792489460889927e-02	
1.600000000000000e+01	4.689787880577498e-01	4.378249801562130e-01	5.001299821710881e-01	4.618338253624938e-01	2.072474674387172e-01	7.163233682570302e-01	7.029121731005600e-01	5.288945821056473e-01	8.768704243557641e-01	6.331796869987188e-01	4.609130738289902e-01	8.054522827478907e-01	6.492643170722477e-01	5.728400615411994e-01	7.256531923316931e-01	3.827073740790800e-02	1.775490235639325e-02	5.877703401175146e-02	
